43.1;Сведения о ходе выполнения НИОКР по работам, номенклатурно включенным в ГОЗ;101СУ;к 1 числу;Приложение №32;01.04.2026;0;1
62;Доклад об окончании и результатах представления сведений о своих доходах, об имуществе и обязательствах имущественного характера, а также своих супруги (супруга) и несовершеннолетних детей;101СУ;к 1 числу;По форме, размещенной на оф. сайте МО РФ;01.04.2026;0;1
63;Табличные формы обработанных сведений о своих доходах, об имуществе и обязательствах имущественного характера, а также своих супруги (супруга) и несовершеннолетних детей (на бумажных и электронных носителях) для размещения на оф. сайте;101СУ;к 1 числу;По форме, размещенной на оф. сайте МО РФ;01.04.2026;0;1
101/331;по плану увольнения ежеквартально;101СУ;к 3 числу;;03.04.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.04.2026;0;1
12;Сведения о возможностях предприятий (организаций) промышленности по изготовлению ВВСТ и готовности к производству;101СУ;к 5 числу;Приложение №10;05.04.2026;0;1
;;101СУ;;;;0;1
16;Сведения о продукции иностранного производства, применяемой в изделиях ВВСТ;101СУ;к 15 числу;Приложение №14;15.04.2026;0;1
101/161;по производственным возможностям п. 12 ТСД;101СУ;к 9 числу;;09.04.2026;0;1
101/75дцп 2025;Инвенаризация ЕИС ГОЗ;101СУ;к 10 числу;;10.04.2026;0;1
61дсп;по выбытию МЦ ежем;101СУ;к 10 числу;;10.04.2026;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.04.2026;0;1
101/74;По дебиторке;101СУ;к 27 числу;;27.04.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.04.2026;0;1
101/791;по вакцинации таблицу;101СУ;к 1 числу;;01.05.2026;0;1
4;Сведения о ВП и предприятиях (организациях), на которых ВП осуществляет контроль качества и приемку.;101СУ;к 1 числу;Приложение №4;01.05.2026;0;1
9;Сведения по номенклатуре военно продукции, подлежащей контролю качества и приемке ВП в эл. Форме (MS Office Excel);101СУ;к 1 числу;Приложение №2 к пр. МО РФ от 29.09.2013 №707;01.05.2026;0;1
;Сведения о состоянии производства и поставок изделий ЭКБ;101СУ;ежегодно;Приложение №15;ежегодно;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.05.2026;0;1
56;Сведения о потребном ко-ве учебных мест на курсах доп. профессиональнного образования военных спкециалистов ВП на учебный год, начинающийся в след календаром;101СУ;к 15 числу;Приложение №38;15.05.2026;0;1
101/74;По дебиторке;101СУ;к 27 числу;;27.05.2026;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.05.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.05.2026;0;1
101/732;1 декабря 2021г , послужные и справки;101СУ;к 1 числу;;01.06.2026;0;1
251/101/731дсп;по планам импортозамещения (251/1/9855);101СУ;к 1 числу;;01.06.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.06.2026;0;1
101/244;коррупция вместо-(2019 год 251/101/143) по уволенным;101СУ;к 30 числу;;30.06.2026;0;1
61дсп;по выбытию МЦ ежем;101СУ;к 10 числу;;10.06.2026;0;1
67;Сведения о численности работников;101СУ;к 10 числу;Приложение №46;10.06.2026;0;1
68;Качественная характеристика работников;101СУ;к 10 числу;Приложение №47;10.06.2026;0;1
69;Сведения о вовлеченности инвалидов в трудовую деятельность;101СУ;к 10 числу;Приложение №48;10.06.2026;0;1
101/75дцп 2025;Инвенаризация ЕИС ГОЗ;101СУ;к 10 числу;;10.06.2026;0;1
88 от 2024г;Таблицы для прок ежеквартально;101СУ;к 10 числу;;10.06.2026;0;1
101/126дсп;Список не воедших в перечень;101СУ;к 15 числу;;15.06.2026;0;1
7;Предложения по внесению изменений в Перечень организаций промышленности, за которыми закреплены ВП (включение (изменение) или вненсение изменений);101СУ;к 15 числу;По форме Перечня пр. ЗМО РФ от 12.01.2013 №1;15.06.2026;0;1
57;Сведения о фактической численности военных специалистов, повысивших квалификацию (прошедших профессиональную переподготовку);101СУ;к 15 числу;Приложение №39;15.06.2026;0;1
101/560дсп (230 СТАРОЕ);ук 251/1/3468 от 7 апреля 23 по 46 цнии, 2 раза в год;101СУ;к 15 числу;;15.06.2026;0;1
101/480;по увольнению обеспеченных жильём;101СУ;к 10 числу;;10.06.2026;0;1
101/566;;101СУ;;;;0;1
101/601;сведения по трудоустройскву родственников;101СУ;к 15 числу;;15.06.2026;0;1
101/217 23год;аварийность;101СУ;к 20 числу;;20.06.2026;0;1
101/74;По дебиторке;101СУ;к 27 числу;;27.06.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.06.2026;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.06.2026;0;1
101/578 от 24 года (336 от20 года);по движению МЦ (ежеквартально);101СУ;25 числа;;25.06.2026;0;1
101/15;План по корупции ьолько 25 год;101СУ;27 числа;;27.06.2026;0;1
101/30;по прокуратуре реест контрактов;101СУ;к 31 числу;;30.06.2026;0;1
101/791;по вакцинации таблицу;101СУ;к 1 числу;;01.07.2026;0;1
101/289;личные данные и командировки (304 и 342);101СУ;к 1 числу;;01.07.2026;0;1
101/201;ОТМЕНЕНО;101СУ;к 1 числу;;01.07.2026;0;1
101/126;по плану перемещения ежеквартально (м);101СУ;к 1 числу;;01.07.2026;0;1
58;Сведения о результатах переподготовки и повышения квалификации личного состава ВП за прошедший учебный год;101СУ;к 1 числу;Приложение №40;01.07.2026;0;1
70;Сведения о военнослужащих и лицах ГП, выезжавших из РФ в отчетном периоде;101СУ;к 1 числу;Приложение №49;01.07.2026;0;1
71;Сведения об оформлении военнослужащими и лицами ГП служебных, заграничных и дипломатических паспортов в ГУК МО РФ, штабах ВО, а также в МВД России (за отчетный квартал);101СУ;к 1 числу;Приложение №50;01.07.2026;0;1
43.1;Сведения о ходе выполнения НИОКР по работам, номенклатурно включенным в ГОЗ;101СУ;к 1 числу;Приложение №32;01.07.2026;0;1
5;Сведения об укомплектованности должнотей в ВП;101СУ;к 1 числу;Приложение №5;01.07.2026;0;1
101/331;по плану увольнения ежеквартально;101СУ;к 3 числу;;03.07.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.07.2026;0;1
101/50дцп от 28.01.25;47/МУ;101СУ;к 5 числу;;05.07.2026;0;1
12;Сведения о возможностях предприятий (организаций) промышленности по изготовлению ВВСТ и готовности к производству;101СУ;к 5 числу;Приложение №10;05.07.2026;0;1
101/272;46 ЦНИИ;101СУ;к 1 числу;;01.07.2026;0;1
101/722 от 21,12,25;по приостановкам;101СУ;к 10 числу;рапортом;10.07.2026;0;1
43.2;Сведения о ходе выполнения НИОКР по всей номенклатуре;101СУ;к 10 числу;Приложение №32;10.07.2026;0;1
14;Сведения о качестве ВВСТ, поставляемых МО РФ предприятиями (организациями) промышленности;101СУ;к 10 числу;Приложение №12;10.07.2026;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.07.2026;0;1
101/74;По дебиторке;101СУ;к 27 числу;;27.07.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.07.2026;0;1
101/131;графики аттестации на след год;101СУ;к 15 числу;;15.07.2026;0;1
85дсп 2024г;Инвентаризация ЕИС ГОЗ;101СУ;к 5 числу;;05.08.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.08.2026;0;1
101/75дцп 2025;Инвенаризация ЕИС ГОЗ;101СУ;к 10 числу;;10.08.2026;0;1
61дсп;по выбытию МЦ ежем;101СУ;к 10 числу;;10.08.2026;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.08.2026;0;1
101/74;По дебиторке;101СУ;к 27 числу;;27.08.2026;0;1
101/151дцп;по 46 цнии сведения по выпуску КИ;101СУ;к 27 числу;;27.08.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.08.2026;0;1
101/421 от 24;Указания по стандаритизации только 24;101СУ;к 1 числу;;01.09.2026;0;1
101/192 от2023 г;по перемещению военнослужащих п.6 р 2 Регламента;101СУ;к 1 числу;;01.09.2026;0;1
60;Заявка на офицеров - выпускников ВУЗов;101СУ;к 1 числу;Приложение №42;01.09.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.09.2026;0;1
101/161;по производственным возможностям п. 12 ТСД;101СУ;к 9 числу;;09.09.2026;0;1
67;Сведения о численности работников;101СУ;к 10 числу;Приложение №46;10.09.2026;0;1
88 от 2024г;Таблицы для прок ежеквартально;101СУ;к 10 числу;;10.09.2026;0;1
57;Сведения о фактической численности военных специалистов, повысивших квалификацию (прошедших профессиональную переподготовку);101СУ;к 15 числу;Приложение №39;15.09.2026;0;1
27;Донесение о наличии ВВСТ, находящихся на ответственном хранени, а также используемых при проведении НИОКР;101СУ;к 25 числу;Приложение №24;25.09.2026;0;1
61дсп;по выбытию МЦ ежем;101СУ;к 10 числу;;10.09.2026;0;1
101/480;по увольнению обеспеченных жильём;101СУ;к 10 числу;;10.09.2026;0;1
101/566;;101СУ;;;;0;1
101/26;формы по коррупции на оф сайте мил ру;101СУ;к 20 числу;;20.09.2026;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.09.2026;0;1
101/201;ОТМЕНЕНО;101СУ;к 1 числу;;01.09.2026;0;1
101/74;По дебиторке;101СУ;к 27 числу;;27.09.2026;0;1
101/578 от 24 года (336 от20 года);по движению МЦ (ежеквартально);101СУ;25 числа;;25.09.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.09.2026;0;1
101/791;по вакцинации таблицу;101СУ;к 1 числу;;01.10.2026;0;1
101/289;личные данные и командировки (304 и 342;101СУ;к 1 числу;;01.10.2026;0;1
101/201;ОТМЕНЕНО;101СУ;к 1 числу;;01.10.2026;0;1
101/126;по плану перемещения ежеквартально (м);101СУ;к 1 числу;;01.10.2026;0;1
70;Сведения о военнослужащих и лицах ГП, выезжавших из РФ в отчетном периоде;101СУ;к 1 числу;Приложение №49;01.10.2026;0;1
71;Сведения об оформлении военнослужащими и лицами ГП служебных, заграничных и дипломатических паспортов в ГУК МО РФ, штабах ВО, а также в МВД России (за отчетный квартал);101СУ;к 1 числу;Приложение №50;01.10.2026;0;1
101/331;по плану увольнения ежеквартально;101СУ;к 3 числу;;03.10.2026;0;1
43.1;Сведения о ходе выполнения НИОКР по работам, номенклатурно включенным в ГОЗ;101СУ;к 1 числу;Приложение №32;01.10.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.10.2026;0;1
12;Сведения о возможностях предприятий (организаций) промышленности по изготовлению ВВСТ и готовности к производству;101СУ;к 5 числу;Приложение №10;05.10.2026;0;1
101/75дцп 2025;Инвенаризация ЕИС ГОЗ;101СУ;к 10 числу;;10.10.2026;0;1
101/596д от24;по мц 24 и 25 год доклад;101СУ;к 20 числу;;20.10.2026;0;1
16;Сведения о продукции иностранного производства, применяемой в изделиях ВВСТ;101СУ;к 15 числу;Приложение №14;15.10.2026;0;1
59;Резерв офицеров для выдвижения на высшие воинские должности и направления на учебу;101СУ;к 20 числу;Приложение №41;20.10.2026;0;1
101/216;по проверке жилья необеспеченных;101СУ;к 20 числу;;20.10.2026;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.10.2026;0;1
101/74;По дебиторке;101СУ;к 27 числу;;27.10.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.10.2026;0;1
ноябрь;;101СУ;;;;0;1
101/732;1 декабря 2021г , послужные и справки;101СУ;к 1 числу;;01.11.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.11.2026;0;1
;по ПДП и МОБ приказ по итогам летнего и Журнал ПДП;101СУ;к 1 числу;;01.11.2026;0;1
4;Сведения о ВП и предприятиях (организациях), на которых ВП осуществляет контроль качества и приемку.;101СУ;к 1 числу;Приложение №4;01.11.2026;0;1
9;Сведения по номенклатуре военно продукции, подлежащей контролю качества и приемке ВП в эл. Форме (MS Office Excel);101СУ;к 1 числу;Приложение №2 к пр. МО РФ от 29.09.2013 №707;01.11.2026;0;1
;;101СУ;;;;0;1
826дсп;МОБ итоги 2024;101СУ;к 10 числу;;10.11.2026;0;1
61дсп;по выбытию МЦ ежем;101СУ;к 10 числу;;10.11.2026;0;1
101/2;по ук 251/101/2 от 9 января 2019 года (план перемещения);101СУ;к 20 числу;;20.11.2026;0;1
101/334дсп;в 46 по качеству ЭКБ;101СУ;к 20 числу;;20.11.2026;0;1
101/85;;101СУ;;;;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.11.2026;0;1
101/722 от 21,12,25;по приостановкам;101СУ;к 10 числу;рапортом;10.11.2026;0;1
251/101/731дсп;по планам импортозамещения (251/1/9855);101СУ;к 20 числу;;20.11.2026;0;1
101/750дсп 2022;копия приказа по МОБ, ежегодно;101СУ;к 20 числу;;20.11.2026;0;1
101/74;По дебиторке;101СУ;к 27 числу;;27.11.2026;0;1
101/697;о выполнении план по коррупции (мукоид);101СУ;к 15 числу (2024г);;15.11.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.11.2026;0;1
101/244;коррупция вместо-(2019 год 251/101/143) по уволенным;101СУ;к 1 числу;;01.12.2026;0;1
101/663;по ТСД 32,33,34;101СУ;к 5 числу;рапортом;05.12.2026;0;1
101/50дцп от 28.01.25;47/МУ;101СУ;к 5 числу;;05.12.2026;0;1
101/534дсп;доклад по травматизму (2024);101СУ;к 13 числу;;13.12.2026;0;1
101/719дсп;по имуществу изымаемому в интересах МО ежем;101СУ;к 15 числу;;15.12.2026;0;1
приказ 165;доклад по имуществу РХБЗ ежегодно;101СУ;к 1 числу;;01.12.2026;0;1
101/511д;список предприятий в перечень;101СУ;к 15 числу;;15.12.2026;0;1
101/289;личные данные и командировки (304 и 342);101СУ;к 15 числу;;15.12.2026;0;1
101/75дцп 2025;Инвенаризация ЕИС ГОЗ;101СУ;к 10 числу;;10.12.2026;0;1
61дсп;по выбытию МЦ ежем;101СУ;к 10 числу;;10.12.2026;0;1
88 от 2024г;Таблицы для прок ежеквартально;101СУ;к 10 числу;;10.12.2026;0;1
101/480;по увольнению обеспеченных жильём;101СУ;к 10 числу;;10.12.2026;0;1
70;Сведения о военнослужащих и лицах ГП, выезжавших из РФ в отчетном периоде;101СУ;к 1 числу;Приложение №49;01.12.2026;0;1
71;Сведения об оформлении военнослужащими и лицами ГП служебных, заграничных и дипломатических паспортов в ГУК МО РФ, штабах ВО, а также в МВД России (за отчетный квартал);101СУ;к 1 числу;Приложение №50;01.12.2026;0;1
47;Донесение о фактической осведомленности начальников ВП;101СУ;к 1 числу;Приложение №34;01.12.2026;0;1
5;Сведения об укомплектованности должнотей в ВП;101СУ;к 1 числу;Приложение №5;01.12.2026;0;1
67;Сведения о численности работников;101СУ;к 5 числу;Приложение №46;05.12.2026;0;1
68;Качественная характеристика работников;101СУ;к 5 числу;Приложение №47;05.12.2026;0;1
69;Сведения о вовлеченности инвалидов в трудовую деятельность;101СУ;к 5 числу;Приложение №48;05.12.2026;0;1
7;Предложения по внесению изменений в Перечень организаций промышленности, за которыми закреплены ВП (включение (изменение) или вненсение изменений);101СУ;к 15 числу;По форме пр. ЗМО РФ от 12.01.2013 №1;15.12.2026;0;1
57;Сведения о фактической численности военных специалистов, повысивших квалификацию (прошедших профессиональную переподготовку);101СУ;к 15 числу;Приложение №39;15.12.2026;0;1
101/560дсп (230 СТАРОЕ);ук 251/1/3468 от 7 апреля 23 по 46 цнии, 2 раза в год;101СУ;к 15 числу;;15.12.2026;0;1
101/334;по п. 8 ТСД ежемесячно изменения предприятий;101СУ;к 15 числу;;15.12.2026;0;1
101/137;по законности только 2025 год;101СУ;к 20 числу;;20.12.2026;0;1
101/15;План по корупции ьолько 25 год;101СУ;27 числа;;27.12.2026;0;1
101/143;сведения по уволенным за 2 года на рук должностях;101СУ;к 6 числу;;06.12.2026;0;1
101/74;По дебиторке;101СУ;к 27 числу;;27.12.2026;0;1
101/30;по прокуратуре реест контрактов;101СУ;к 31 числу;;31.12.2026;0;1
101/346;ук 251/7/5255 от 28 мая 21 по престижу военнослужащих;101СУ;к 15 числу;;15.12.2026;0;1
101/578 от 24 года (336 от20 года);по движению МЦ (ежеквартально);101СУ;25 числа;;25.12.2026;0;1
175 приказ 17.10.22;по БДД ежемесячно нарушители;101СУ;к 30 числу;;30.12.2026;0;1
